weight_axis,multiplier,temporal_weight,local_weight,topology_weight,corner_weight,dataset,corner_identity_flip_rate,glyph_flips_per_second,stroke_metric_difference,stable_canonical,stress_boundary_preserved
temporal,0.50,0.9000,0.5500,2.4000,0.3500,real-orbit,0.0000,0.0000,0.0000,true,true
temporal,0.50,0.9000,0.5500,2.4000,0.3500,glyph-stress,0.0000,0.0000,0.0000,true,true
temporal,0.75,1.3500,0.5500,2.4000,0.3500,real-orbit,0.0000,0.0000,0.0000,true,true
temporal,0.75,1.3500,0.5500,2.4000,0.3500,glyph-stress,0.0000,0.0000,0.0000,true,true
temporal,1.00,1.8000,0.5500,2.4000,0.3500,real-orbit,0.0000,0.0000,0.0000,true,true
temporal,1.00,1.8000,0.5500,2.4000,0.3500,glyph-stress,0.0000,0.0000,0.0000,true,true
temporal,1.25,2.2500,0.5500,2.4000,0.3500,real-orbit,0.0000,0.0000,0.0000,true,true
temporal,1.25,2.2500,0.5500,2.4000,0.3500,glyph-stress,0.0000,0.0000,0.0000,true,true
temporal,1.50,2.7000,0.5500,2.4000,0.3500,real-orbit,0.0810,79.4366,0.0276,false,true
temporal,1.50,2.7000,0.5500,2.4000,0.3500,glyph-stress,0.0810,79.4366,0.0276,false,true
local,0.50,1.8000,0.2750,2.4000,0.3500,real-orbit,0.0000,0.0000,0.0000,true,true
local,0.50,1.8000,0.2750,2.4000,0.3500,glyph-stress,0.0000,0.0000,0.0000,true,true
local,0.75,1.8000,0.4125,2.4000,0.3500,real-orbit,0.0000,0.0000,0.0000,true,true
local,0.75,1.8000,0.4125,2.4000,0.3500,glyph-stress,0.0000,0.0000,0.0000,true,true
local,1.00,1.8000,0.5500,2.4000,0.3500,real-orbit,0.0000,0.0000,0.0000,true,true
local,1.00,1.8000,0.5500,2.4000,0.3500,glyph-stress,0.0000,0.0000,0.0000,true,true
local,1.25,1.8000,0.6875,2.4000,0.3500,real-orbit,0.0000,0.0000,0.0000,true,true
local,1.25,1.8000,0.6875,2.4000,0.3500,glyph-stress,0.0000,0.0000,0.0000,true,true
local,1.50,1.8000,0.8250,2.4000,0.3500,real-orbit,0.0000,0.0000,0.0000,true,true
local,1.50,1.8000,0.8250,2.4000,0.3500,glyph-stress,0.0000,0.0000,0.0000,true,true
topology,0.50,1.8000,0.5500,1.2000,0.3500,real-orbit,0.0810,79.4366,0.0276,false,true
topology,0.50,1.8000,0.5500,1.2000,0.3500,glyph-stress,0.0810,79.4366,0.0276,false,true
topology,0.75,1.8000,0.5500,1.8000,0.3500,real-orbit,0.0810,79.4366,0.0276,false,true
topology,0.75,1.8000,0.5500,1.8000,0.3500,glyph-stress,0.0810,79.4366,0.0276,false,true
topology,1.00,1.8000,0.5500,2.4000,0.3500,real-orbit,0.0000,0.0000,0.0000,true,true
topology,1.00,1.8000,0.5500,2.4000,0.3500,glyph-stress,0.0000,0.0000,0.0000,true,true
topology,1.25,1.8000,0.5500,3.0000,0.3500,real-orbit,0.0000,0.0000,0.0000,true,true
topology,1.25,1.8000,0.5500,3.0000,0.3500,glyph-stress,0.0000,0.0000,0.0000,true,true
topology,1.50,1.8000,0.5500,3.6000,0.3500,real-orbit,0.0000,0.0000,0.0000,true,true
topology,1.50,1.8000,0.5500,3.6000,0.3500,glyph-stress,0.0000,0.0000,0.0000,true,true
corner,0.50,1.8000,0.5500,2.4000,0.1750,real-orbit,0.0000,0.0000,0.0000,true,true
corner,0.50,1.8000,0.5500,2.4000,0.1750,glyph-stress,0.0000,0.0000,0.0000,true,true
corner,0.75,1.8000,0.5500,2.4000,0.2625,real-orbit,0.0000,0.0000,0.0000,true,true
corner,0.75,1.8000,0.5500,2.4000,0.2625,glyph-stress,0.0000,0.0000,0.0000,true,true
corner,1.00,1.8000,0.5500,2.4000,0.3500,real-orbit,0.0000,0.0000,0.0000,true,true
corner,1.00,1.8000,0.5500,2.4000,0.3500,glyph-stress,0.0000,0.0000,0.0000,true,true
corner,1.25,1.8000,0.5500,2.4000,0.4375,real-orbit,0.0000,0.0000,0.0000,true,true
corner,1.25,1.8000,0.5500,2.4000,0.4375,glyph-stress,0.0000,0.0000,0.0000,true,true
corner,1.50,1.8000,0.5500,2.4000,0.5250,real-orbit,0.0000,0.0000,0.0000,true,true
corner,1.50,1.8000,0.5500,2.4000,0.5250,glyph-stress,0.0000,0.0000,0.0000,true,true
