dirty_mode,role,emitted,suppressed,stale_cleared,budget_candidates,budget_emitted,budget_dropped,max_color_distance,example
naive,background-particle,646,0,548,646,646,0,0.1214,15:17:emitted->46:dist=0.0018
naive,afterimage,0,0,0,0,0,0,0.0000,
naive,mouse-trail,0,0,0,0,0,0,0.0000,
naive,orbit,2327,0,23,2327,2327,0,0.0810,13:4:emitted->9581:dist=0.0663
naive,status-text,3355,0,0,3355,3355,0,0.0268,31:6:emitted->9559:dist=0.0018
naive,logo,7016,0,0,7016,7016,0,0.0436,16:6:emitted->9608:dist=0.0267
uniform-threshold,background-particle,578,68,548,578,578,0,0.1214,15:17:suppressed->46:dist=0.0018
uniform-threshold,afterimage,0,0,0,0,0,0,0.0000,
uniform-threshold,mouse-trail,0,0,0,0,0,0,0.0000,
uniform-threshold,orbit,615,1712,23,615,615,0,0.0810,13:4:emitted->9581:dist=0.0663
uniform-threshold,status-text,881,2474,0,881,881,0,0.0268,31:6:suppressed->9559:dist=0.0018
uniform-threshold,logo,2244,4772,0,2244,2244,0,0.0436,16:6:emitted->9608:dist=0.0267
luminance-threshold,background-particle,578,68,548,578,578,0,0.1214,15:17:suppressed->46:dist=0.0018
luminance-threshold,afterimage,0,0,0,0,0,0,0.0000,
luminance-threshold,mouse-trail,0,0,0,0,0,0,0.0000,
luminance-threshold,orbit,534,1793,23,534,534,0,0.0810,13:4:emitted->9581:dist=0.0663
luminance-threshold,status-text,881,2474,0,881,881,0,0.0268,31:6:suppressed->9559:dist=0.0018
luminance-threshold,logo,2244,4772,0,2244,2244,0,0.0436,16:6:emitted->9608:dist=0.0267
priority-dirty,background-particle,276,0,548,646,276,370,0.1214,15:17:emitted->46:dist=0.0018
priority-dirty,afterimage,0,0,0,0,0,0,0.0000,
priority-dirty,mouse-trail,0,0,0,0,0,0,0.0000,
priority-dirty,orbit,1105,0,23,2327,1105,1222,0.0810,13:4:emitted->9581:dist=0.0663
priority-dirty,status-text,2334,0,0,3355,2334,1021,0.0268,31:6:emitted->9559:dist=0.0018
priority-dirty,logo,7016,0,0,7016,7016,0,0.0436,16:6:emitted->9608:dist=0.0267
role-aware,background-particle,571,75,548,571,571,0,0.1214,15:17:suppressed->46:dist=0.0018
role-aware,afterimage,0,0,0,0,0,0,0.0000,
role-aware,mouse-trail,0,0,0,0,0,0,0.0000,
role-aware,orbit,583,1744,23,583,583,0,0.0810,13:4:emitted->9581:dist=0.0663
role-aware,status-text,881,2474,0,881,881,0,0.0268,31:6:suppressed->9559:dist=0.0018
role-aware,logo,7016,0,0,7016,7016,0,0.0436,16:6:emitted->9608:dist=0.0267
full,background-particle,571,75,548,571,571,0,0.1214,15:17:suppressed->46:dist=0.0018
full,afterimage,0,0,0,0,0,0,0.0000,
full,mouse-trail,0,0,0,0,0,0,0.0000,
full,orbit,583,1744,23,583,583,0,0.0810,13:4:emitted->9581:dist=0.0663
full,status-text,881,2474,0,881,881,0,0.0268,31:6:suppressed->9559:dist=0.0018
full,logo,7016,0,0,7016,7016,0,0.0436,16:6:emitted->9608:dist=0.0267
