dataset,glyph_history,topology_breaks_per_frame,endpoint_drift,screen_discontinuity_rate,path_order_violation_rate,connected_component_instability,crossing_ambiguity_rate,correspondence_lost_rate,stroke_metric_difference,glyph_flips_per_second,corner_glyph_instability,stress_degradation_index,verdict
canonical,off,0.0000,0.0000,0.4286,0.0000,0.0000,0.0000,0.0000,0.1667,480.0000,0.5070,0.5070,unstable
canonical,screen-cell,0.0000,0.0000,0.4286,0.0000,0.0000,0.0000,0.0000,0.0411,118.3099,0.1268,0.1268,partially-stable
canonical,path,0.0000,0.0000,0.4286,0.0000,0.0000,0.0000,0.0000,0.0276,79.4366,0.0810,0.0810,partially-stable
canonical,topology-dp,0.0000,0.0000,0.4286,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,topology-stable
shuffled-path,off,0.0000,0.0000,0.4286,1.0000,0.0000,0.0000,0.0000,0.1667,480.0000,0.5070,1.0000,unstable
shuffled-path,screen-cell,0.0000,0.0000,0.4286,1.0000,0.0000,0.0000,0.0000,0.0411,118.3099,0.1268,1.0000,partially-stable
shuffled-path,path,0.0000,0.0000,0.4286,1.0000,0.0000,0.0000,0.0000,0.0276,79.4366,0.0810,1.0000,partially-stable
shuffled-path,topology-dp,0.0000,0.0000,0.4286,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,partially-stable
high-speed,off,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1014,182.5352,0.4930,0.4930,unstable
high-speed,screen-cell,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0845,152.1127,1.0000,1.0000,unstable
high-speed,path,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1014,182.5352,1.0000,1.0000,unstable
high-speed,topology-dp,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.1014,182.5352,1.0000,1.0000,unstable
topology-break,off,0.0000,0.2535,0.3199,0.0385,0.0000,0.0000,0.0000,0.0000,0.0000,0.0176,0.0385,partially-stable
topology-break,screen-cell,0.0000,0.2535,0.3199,0.0385,0.0000,0.0000,0.0000,0.0000,0.0000,0.0176,0.0385,partially-stable
topology-break,path,0.0000,0.2535,0.3199,0.0385,0.0000,0.0000,0.0000,0.0000,0.0000,0.0176,0.0385,partially-stable
topology-break,topology-dp,0.0000,0.2535,0.3622,0.0370,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0370,partially-stable
line-crossing,off,0.0000,0.0000,0.1250,0.0000,0.0000,0.0000,0.0000,0.0196,120.0000,0.0000,0.0196,topology-stable
line-crossing,screen-cell,0.0000,0.0000,0.1250,0.0000,0.0000,0.0000,0.0000,0.0196,120.0000,0.0000,0.0196,topology-stable
line-crossing,path,0.0000,0.0000,0.1250,0.0000,0.0000,0.0000,0.0000,0.0080,49.0141,0.0000,0.0080,topology-stable
line-crossing,topology-dp,0.0000,0.0000,0.1250,0.0000,0.0000,0.0505,0.0000,0.0058,35.4930,0.0000,0.0058,topology-stable
bounded-jitter,off,0.9859,4.0000,0.1408,0.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,partially-stable
bounded-jitter,screen-cell,0.9859,4.0000,0.1408,0.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,partially-stable
bounded-jitter,path,0.9859,4.0000,0.1408,0.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,partially-stable
bounded-jitter,topology-dp,0.9859,4.0000,0.1408,0.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,partially-stable
shape-continuity,off,1.3521,3.3803,0.1502,0.0000,2.7042,0.0000,0.0000,0.0282,81.1268,0.0000,0.0282,partially-stable
shape-continuity,screen-cell,1.3521,3.3803,0.1502,0.0000,2.7042,0.0000,0.0000,0.0563,162.2535,0.0000,0.0563,partially-stable
shape-continuity,path,1.3521,3.3803,0.1502,0.0000,2.7042,0.0000,0.0000,0.0563,162.2535,0.0000,0.0563,partially-stable
shape-continuity,topology-dp,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,topology-stable
